SOURCE,keyword,count
JT_SNS_KWRD_STATS_LIST_202312,서쪽,220
JT_SNS_KWRD_STATS_LIST_202312,사진,219
JT_SNS_KWRD_STATS_LIST_202312,성산일출봉,216
JT_SNS_KWRD_STATS_LIST_202312,관광,208
JT_SNS_KWRD_STATS_LIST_202312,투어,207
JT_SNS_KWRD_STATS_LIST_202312,관광지,202
JT_SNS_KWRD_STATS_LIST_202312,제주시,202
JT_SNS_KWRD_STATS_LIST_202312,조림,197
JT_SNS_KWRD_STATS_LIST_202312,펜션,195
JT_SNS_KWRD_STATS_LIST_202312,체험,194
JT_SNS_KWRD_STATS_LIST_202312,여행지,190
JT_SNS_KWRD_STATS_LIST_202312,스누피,185
JT_SNS_KWRD_STATS_LIST_202312,협재,180
JT_SNS_KWRD_STATS_LIST_202312,휴가,177
JT_SNS_KWRD_STATS_LIST_202312,아기,177
JT_SNS_KWRD_STATS_LIST_202312,명소,175
JT_SNS_KWRD_STATS_LIST_202312,파크,169
JT_SNS_KWRD_STATS_LIST_202312,지엄,169
JT_SNS_KWRD_STATS_LIST_202312,도로,167
